gene	GWAS	Fst	H12	PBS
AGAP000043	TRUE	FALSE	FALSE	FALSE
AGAP000044	TRUE	FALSE	FALSE	FALSE
AGAP000045	TRUE	FALSE	FALSE	FALSE
AGAP000080	TRUE	FALSE	FALSE	FALSE
AGAP000081	TRUE	FALSE	FALSE	FALSE
AGAP000082	TRUE	FALSE	FALSE	FALSE
AGAP000085	TRUE	FALSE	FALSE	FALSE
AGAP000237	FALSE	FALSE	FALSE	TRUE
AGAP000238	FALSE	FALSE	FALSE	TRUE
AGAP000834	FALSE	TRUE	FALSE	FALSE
AGAP000835	FALSE	TRUE	FALSE	FALSE
AGAP001897	TRUE	FALSE	FALSE	FALSE
AGAP001898	TRUE	FALSE	FALSE	FALSE
AGAP001899	TRUE	FALSE	FALSE	FALSE
AGAP001902	TRUE	FALSE	FALSE	FALSE
AGAP001903	TRUE	FALSE	FALSE	FALSE
AGAP001905	TRUE	FALSE	FALSE	FALSE
AGAP001907	TRUE	FALSE	FALSE	FALSE
AGAP001913	TRUE	FALSE	FALSE	FALSE
AGAP001914	TRUE	FALSE	FALSE	FALSE
AGAP001915	TRUE	FALSE	FALSE	FALSE
AGAP001916	TRUE	FALSE	FALSE	FALSE
AGAP001917	TRUE	FALSE	FALSE	FALSE
AGAP001918	TRUE	FALSE	FALSE	FALSE
AGAP001919	TRUE	FALSE	FALSE	FALSE
AGAP001920	TRUE	FALSE	FALSE	FALSE
AGAP001921	TRUE	FALSE	FALSE	FALSE
AGAP001922	TRUE	FALSE	FALSE	FALSE
AGAP002399	TRUE	FALSE	FALSE	FALSE
AGAP002400	TRUE	FALSE	FALSE	FALSE
AGAP002401	TRUE	FALSE	FALSE	FALSE
AGAP002402	TRUE	FALSE	FALSE	FALSE
AGAP002403	TRUE	FALSE	FALSE	FALSE
AGAP002411	TRUE	FALSE	FALSE	FALSE
AGAP002412	TRUE	FALSE	FALSE	FALSE
AGAP002413	TRUE	FALSE	FALSE	FALSE
AGAP002414	TRUE	FALSE	FALSE	FALSE
AGAP002415	TRUE	FALSE	FALSE	FALSE
AGAP002416	TRUE	FALSE	FALSE	FALSE
AGAP002417	TRUE	FALSE	FALSE	FALSE
AGAP002875	FALSE	FALSE	TRUE	FALSE
AGAP002876	FALSE	FALSE	TRUE	FALSE
AGAP002877	FALSE	FALSE	TRUE	FALSE
AGAP002878	FALSE	FALSE	TRUE	FALSE
AGAP002879	FALSE	FALSE	TRUE	FALSE
AGAP002880	FALSE	FALSE	TRUE	FALSE
AGAP004768	FALSE	FALSE	TRUE	FALSE
AGAP004769	FALSE	FALSE	TRUE	FALSE
AGAP004775	FALSE	FALSE	TRUE	FALSE
AGAP004780	FALSE	FALSE	TRUE	FALSE
AGAP004781	FALSE	FALSE	TRUE	FALSE
AGAP004782	FALSE	FALSE	TRUE	FALSE
AGAP004783	FALSE	FALSE	TRUE	FALSE
AGAP004784	FALSE	FALSE	TRUE	FALSE
AGAP004785	FALSE	FALSE	TRUE	FALSE
AGAP004786	FALSE	FALSE	TRUE	FALSE
AGAP004787	FALSE	FALSE	TRUE	FALSE
AGAP004788	FALSE	FALSE	TRUE	FALSE
AGAP004789	FALSE	FALSE	TRUE	FALSE
AGAP004790	FALSE	FALSE	TRUE	FALSE
AGAP004791	FALSE	FALSE	TRUE	FALSE
AGAP004792	FALSE	FALSE	TRUE	FALSE
AGAP004793	FALSE	FALSE	TRUE	FALSE
AGAP004794	FALSE	FALSE	TRUE	FALSE
AGAP004805	TRUE	FALSE	FALSE	FALSE
AGAP004806	TRUE	FALSE	FALSE	FALSE
AGAP004807	TRUE	FALSE	FALSE	FALSE
AGAP004808	TRUE	FALSE	FALSE	FALSE
AGAP004809	TRUE	FALSE	FALSE	FALSE
AGAP004810	TRUE	FALSE	FALSE	FALSE
AGAP004811	TRUE	FALSE	FALSE	FALSE
AGAP004812	TRUE	FALSE	FALSE	FALSE
AGAP004813	TRUE	FALSE	FALSE	FALSE
AGAP004814	TRUE	FALSE	FALSE	FALSE
AGAP004815	TRUE	FALSE	FALSE	FALSE
AGAP004821	TRUE	FALSE	FALSE	FALSE
AGAP004823	TRUE	FALSE	FALSE	FALSE
AGAP004824	TRUE	FALSE	FALSE	FALSE
AGAP004850	TRUE	FALSE	FALSE	FALSE
AGAP004854	TRUE	FALSE	FALSE	FALSE
AGAP004855	TRUE	FALSE	FALSE	FALSE
AGAP004856	TRUE	FALSE	FALSE	FALSE
AGAP004859	TRUE	FALSE	FALSE	FALSE
AGAP004860	TRUE	FALSE	FALSE	FALSE
AGAP004861	TRUE	FALSE	FALSE	FALSE
AGAP005715	FALSE	FALSE	TRUE	FALSE
AGAP005961	TRUE	FALSE	FALSE	FALSE
AGAP005963	TRUE	FALSE	FALSE	FALSE
AGAP005964	TRUE	FALSE	FALSE	FALSE
AGAP005966	TRUE	FALSE	FALSE	FALSE
AGAP006838	TRUE	FALSE	FALSE	FALSE
AGAP006839	TRUE	FALSE	FALSE	FALSE
AGAP006840	TRUE	FALSE	FALSE	FALSE
AGAP006841	TRUE	FALSE	FALSE	FALSE
AGAP006842	TRUE	FALSE	FALSE	FALSE
AGAP006843	TRUE	FALSE	FALSE	FALSE
AGAP006844	TRUE	FALSE	FALSE	FALSE
AGAP006845	TRUE	FALSE	FALSE	FALSE
AGAP006846	TRUE	FALSE	FALSE	FALSE
AGAP006847	TRUE	FALSE	FALSE	FALSE
AGAP006848	TRUE	FALSE	FALSE	FALSE
AGAP006849	TRUE	FALSE	FALSE	FALSE
AGAP006850	TRUE	FALSE	FALSE	FALSE
AGAP006851	TRUE	FALSE	FALSE	FALSE
AGAP006852	TRUE	FALSE	FALSE	FALSE
AGAP006853	TRUE	FALSE	FALSE	FALSE
AGAP006854	TRUE	FALSE	FALSE	FALSE
AGAP006855	TRUE	FALSE	FALSE	FALSE
AGAP006857	TRUE	FALSE	FALSE	FALSE
AGAP006858	TRUE	FALSE	FALSE	FALSE
AGAP006859	TRUE	FALSE	FALSE	FALSE
AGAP006860	TRUE	FALSE	FALSE	FALSE
AGAP006861	TRUE	FALSE	FALSE	FALSE
AGAP006862	TRUE	FALSE	FALSE	FALSE
AGAP006863	TRUE	FALSE	FALSE	FALSE
AGAP006864	TRUE	FALSE	FALSE	FALSE
AGAP006865	TRUE	FALSE	FALSE	FALSE
AGAP006866	TRUE	FALSE	FALSE	FALSE
AGAP006867	TRUE	FALSE	FALSE	FALSE
AGAP007648	TRUE	FALSE	FALSE	FALSE
AGAP007650	TRUE	FALSE	FALSE	FALSE
AGAP007651	TRUE	FALSE	FALSE	FALSE
AGAP007659	TRUE	FALSE	FALSE	FALSE
AGAP007660	TRUE	FALSE	FALSE	FALSE
AGAP007661	TRUE	FALSE	FALSE	FALSE
AGAP007662	TRUE	FALSE	FALSE	FALSE
AGAP007663	TRUE	FALSE	FALSE	FALSE
AGAP007664	TRUE	FALSE	FALSE	FALSE
AGAP007665	TRUE	FALSE	FALSE	FALSE
AGAP007666	TRUE	FALSE	FALSE	FALSE
AGAP007667	TRUE	FALSE	FALSE	FALSE
